Establecimiento;Pc1.Actitud;Pc1.Atencion;Pc1.AtencRapida;Pc1.Reconocic;Pc1.Servicio;Pd1.Asesora;Pd1.InfoCompleta;Pd1.Aspectos;Pe1.Experienc;Pe1.Consultas;Pe1.ConocGama;Pe1.ResolConsulta;Pe1.Interes;Pe1.EsperaAtenc;Pe1.EsperaCaja;Pe1.ResolucRapida;Pe1.EmpleadCaja;Pe1.TiempoRecla;Pe1.SoluQuejas;Pe1.SencTramites;Pf1.Competitivid;Pf1.Variedad;Pf1.BenefHabitual;Pg1.NumEmplead;Pg1.CajasCerradas;Pg1.Decoracion;Pg1.Iluminacion;Pg1.Climatizacion;Pg1.OrdenLimpieza;Pg1.Amplitud;Pg1.Senalizacion;Pg1.IdentCadena;Ph1.CalidadPrecio;Ph1.Satisfaccion;C1.Edad;C2.Sexo;C3.EstadoCivil;C4.CompraMedia;C5.IngMes
3;8;8;9;7;8;6;7;6;7;9;7;8;6;7;7;8;6;7;7;8;8;6;7;6;5;7;8;7;10;6;6;9;9;8;1;1;1;3;1
1;9;8;9;2;9;6;7;3;7;8;7;8;9;9;9;9;10;7;7;7;9;7;9;10;10;7;8;9;9;10;6;10;8;8;1;2;1;2;1
3;4;2;1;4;4;6;4;1;10;6;6;6;4;7;7;8;5;9;10;10;9;2;4;8;8;1;10;10;8;10;3;10;5;5;1;2;1;2;1
1;5;4;5;3;6;7;6;3;6;6;8;5;4;5;6;6;8;5;4;5;6;8;7;5;7;6;7;7;8;8;7;10;7;8;1;1;1;5;1
3;6;6;6;5;6;7;6;6;5;6;5;6;6;6;7;6;7;4;4;4;8;7;7;6;7;7;8;8;8;7;7;7;9;8;1;1;1;1;1
1;5;4;4;3;4;7;7;6;4;5;4;4;5;5;6;5;6;4;3;4;7;7;7;5;6;7;8;8;8;10;7;7;7;8;2;2;3;5;1
3;8;7;7;6;8;9;8;7;9;8;7;7;8;6;5;6;7;5;5;5;6;8;6;7;6;6;8;7;8;8;7;7;6;7;1;2;3;2;1
2;6;7;7;8;7;7;8;7;5;4;5;6;7;5;4;4;5;5;5;6;7;6;6;6;5;6;8;8;8;5;9;10;7;9;1;2;1;2;1
2;8;7;6;3;6;9;8;6;8;7;9;6;7;6;5;7;8;6;4;6;6;7;5;6;4;5;6;7;8;6;7;9;7;8;1;1;1;1;1
3;6;6;6;7;6;5;4;4;6;6;6;6;5;6;6;6;6;NA;NA;NA;6;6;6;6;6;4;6;1;7;6;6;10;6;5;1;2;1;2;1
1;6;5;5;5;5;6;7;4;4;5;6;5;6;4;3;6;4;7;6;5;5;7;5;6;3;7;8;8;7;7;7;7;7;6;1;1;1;2;1
